restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,clean_name
Akshaya Grand,casual dining,3.4,29,750.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",btm,Akshaya Grand
Akshaya Sambrama Veg Restaurant,quick bites,3.2,13,200.0,No,No,"south indian, chinese",church street,vasanth nagar,Akshaya Sambrama Veg Restaurant
Akss - India Reimagined,casual dining,4.2,258,1800.0,No,Yes,"modern indian, north indian",malleshwaram,sadashiv nagar,Akss - India Reimagined
Al Amal Cafe,"cafe, quick bites",4.0,74,300.0,No,No,"cafe, fast food",kalyan nagar,kammanahalli,Al Amal Cafe
Al Amanah Cafe,quick bites,4.4,1413,300.0,Yes,No,"middle eastern, fast food, rolls",frazer town,kammanahalli,Al Amanah Cafe
Al Ameen Rolls Corner,quick bites,3.7,16,200.0,No,No,rolls,kalyan nagar,kammanahalli,Al Ameen Rolls Corner
Al Barack Cafetaria,quick bites,3.6,20,300.0,No,No,arabian,kalyan nagar,banaswadi,Al Barack Cafetaria
Al Daaz,casual dining,4.2,567,550.0,Yes,No,"north indian, continental, bbq",bellandur,hsr,Al Daaz
Al Diwan Biryanis And More,"takeaway, delivery",3.2,12,300.0,Yes,No,biryani,jayanagar,basavanagudi,Al Diwan Biryanis And More
Al Ghani Resetaurant,quick bites,3.3,4,400.0,No,No,"mughlai, biryani",kammanahalli,kammanahalli,Al Ghani Resetaurant
Al Habibi Restaurant,quick bites,3.5,17,300.0,Yes,No,"north indian, chinese","byresandra,tavarekere,madiwala",btm,Al Habibi Restaurant
Al Hayath,quick bites,3.5,16,200.0,No,No,"north indian, chinese",koramangala 5th block,btm,Al Hayath
Al Hayath Ambur Biryani,quick bites,3.3,9,200.0,No,No,biryani,koramangala 4th block,ejipura,Al Hayath Ambur Biryani
Al Karim,casual dining,3.7,90,400.0,No,No,"mughlai, north indian, biryani, chinese",kammanahalli,kalyan nagar,Al Karim
Al Khaleej Snacks Corner,quick bites,2.8,40,200.0,No,No,"lebanese, fast food, beverages",basavanagudi,jayanagar,Al Khaleej Snacks Corner
Al Khansah,casual dining,3.9,370,550.0,Yes,No,"biryani, mughlai, chinese, north indian, kebab",bellandur,bellandur,Al Khansah
Al Khwaja,casual dining,3.0,13,400.0,No,No,"north indian, chinese",bellandur,bellandur,Al Khwaja
Al Madhina Roll House,quick bites,3.4,6,300.0,No,No,"north indian, chinese",kammanahalli,kalyan nagar,Al Madhina Roll House
Al Madina Family Restaurant,quick bites,2.8,40,500.0,No,No,"north indian, south indian, arabian",basavanagudi,city market,Al Madina Family Restaurant
Al Madina Roll House,quick bites,3.6,16,150.0,Yes,No,biryani,kalyan nagar,kalyan nagar,Al Madina Roll House
