restaurant_name,restaurant_type,rate_out_of_5,num_of_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address
Aadhya Hotel,"casual dining, bar",3.3,5,800.0,Yes,No,"south indian, north indian, chinese, biryani",banashankari,basavanagudi
Aadvik Nightfood,delivery,3.6,22,350.0,Yes,No,fast food,frazer town,frazer town
Aagaman Veg,casual dining,2.8,40,900.0,Yes,No,"north indian, chinese, south indian",electronic city,electronic city
Aaha,quick bites,3.6,93,300.0,Yes,No,"north indian, chinese",marathahalli,brookefield
Aaha Andhra,casual dining,3.4,58,900.0,No,No,"andhra, biryani, north indian",marathahalli,marathahalli
Aahar Cafe,quick bites,3.5,40,100.0,No,No,south indian,basavanagudi,basavanagudi
Aahar Vihar,quick bites,4.0,68,250.0,Yes,No,north indian,brookefield,marathahalli
Aahara Vihar,quick bites,3.5,13,300.0,No,No,"south indian, north indian, chinese",malleshwaram,malleshwaram
Aaharam,quick bites,4.0,65,350.0,No,No,"chinese, north indian",hsr,koramangala 1st block
Aalishan Restaurant & Caterer,casual dining,3.5,888,650.0,Yes,No,"north indian, mughlai","byresandra,tavarekere,madiwala",koramangala 7th block
Aami Bangali,casual dining,3.0,66,700.0,Yes,No,bengali,"byresandra,tavarekere,madiwala",koramangala 5th block
Aami Kolkata,delivery,3.3,5,600.0,No,No,bengali,bannerghatta road,bannerghatta road
Aao G Khao G,quick bites,3.5,11,200.0,Yes,No,"north indian, chinese",hsr,hsr
Aapni Rasoi,quick bites,3.2,127,400.0,Yes,No,north indian,bellandur,bellandur
Aaranya Restaurant,casual dining,3.4,212,800.0,Yes,No,"north indian, chinese, mughlai","byresandra,tavarekere,madiwala",hsr
Aarti Paratha & Rolls Corner,quick bites,3.6,15,200.0,Yes,No,"north indian, fast food",new bel road,new bel road
Aarya Pork Hotel,quick bites,3.3,11,300.0,No,No,"south indian, biryani, chinese","byresandra,tavarekere,madiwala",btm
Aashirvaad Restaurant,quick bites,3.1,249,300.0,Yes,No,"north indian, oriya, chinese",brookefield,marathahalli
Aashish Foods,quick bites,2.7,35,150.0,Yes,No,north indian,brookefield,brookefield
Aasife & Brothers Biriyani Centre,casual dining,3.8,120,600.0,Yes,No,"biryani, north indian, south indian, chinese","byresandra,tavarekere,madiwala",hsr
Aastha Bengali Mess,quick bites,3.9,131,250.0,Yes,No,"chinese, bengali",malleshwaram,yeshwantpur
Aata's Kitchen,quick bites,2.8,40,250.0,Yes,No,"south indian, north indian","byresandra,tavarekere,madiwala",koramangala 1st block
Aathithya,casual dining,3.1,16,1100.0,No,No,"north indian, continental, chinese",brigade road,infantry road
Aathurar,casual dining,3.2,574,600.0,Yes,No,"chettinad, biryani, south indian, seafood",indiranagar,jeevan bhima nagar
Abbabi Chicken,quick bites,3.7,134,200.0,No,No,fast food,sarjapur road,bellandur
ABC Grand,casual dining,3.5,54,400.0,No,No,"andhra, chinese, north indian",old airport road,indiranagar
Abhiruchi,casual dining,3.8,164,650.0,No,No,"andhra, seafood, north indian, chinese",kalyan nagar,kammanahalli
Abhiruchi Andhra Mess,mess,3.1,61,300.0,Yes,No,"andhra, biryani, south indian",whitefield,whitefield
Abhiruchi Hotel,casual dining,3.2,12,500.0,Yes,No,"north indian, south indian, chinese","byresandra,tavarekere,madiwala",bommanahalli
Abhiruchi Moonlight,"takeaway, delivery",3.3,4,300.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",bommanahalli
Abhiruchi Restaurant,casual dining,3.4,5,400.0,Yes,No,"andhra, north indian, chinese",bellandur,sarjapur road
AB's - Absolute Barbecues,casual dining,4.6,1502,1400.0,No,Yes,"european, mediterranean, north indian, bbq",kalyan nagar,kalyan nagar
Absolute Chinese,quick bites,3.8,209,450.0,Yes,No,"chinese, fast food, momos",malleshwaram,rajajinagar
Absolute Shawarma,"takeaway, delivery",2.8,40,150.0,Yes,No,lebanese,brookefield,brookefield
Absolute Waffles,dessert parlor,3.9,49,200.0,Yes,No,"desserts, fast food",malleshwaram,new bel road
Aburrahaman,delivery,2.8,40,400.0,No,No,"north indian, south indian, chinese",indiranagar,thippasandra
Abzain Paradise,quick bites,2.9,42,300.0,No,No,north indian,new bel road,sanjay nagar
Achayyan's,quick bites,3.8,405,350.0,Yes,No,"kerala, south indian",indiranagar,indiranagar
Ackley Kitchen,quick bites,3.6,33,500.0,Yes,No,"fast food, continental, burger",marathahalli,kaggadasapura
Adarsh Bakery,bakery,3.1,10,300.0,No,No,"bakery, fast food",electronic city,electronic city
Adda,quick bites,3.3,5,300.0,No,No,south indian,basavanagudi,shanti nagar
Addhuri Udupi Bhojana,quick bites,3.7,88,300.0,No,No,"south indian, north indian",banashankari,banashankari
Adiga's,quick bites,3.3,55,150.0,No,No,south indian,basavanagudi,jayanagar
Adi's Cake N Cafe,bakery,3.3,4,400.0,No,No,bakery,"byresandra,tavarekere,madiwala",bannerghatta road
Adithya,casual dining,3.9,178,450.0,Yes,No,"south indian, north indian, chinese",bannerghatta road,jp nagar
Adithya Family Restaurant,quick bites,3.7,27,250.0,No,No,south indian,"byresandra,tavarekere,madiwala",btm
Adithya Tiffin Centre,"takeaway, delivery",2.8,40,200.0,No,No,north indian,brigade road,shanti nagar
Adithya Veg,quick bites,3.3,10,300.0,No,No,"south indian, chinese",basavanagudi,jayanagar
Aditya Delights,quick bites,3.7,59,300.0,No,No,"chinese, north indian, mangalorean",new bel road,new bel road
Aditya Sweets,sweet shop,3.7,21,200.0,Yes,No,"mithai, fast food",brookefield,whitefield
Aditya Uphar,quick bites,3.5,30,200.0,No,No,"south indian, chinese, north indian",jp nagar,jp nagar
Adukkala Restaurant,casual dining,2.9,128,600.0,Yes,No,kerala,kammanahalli,banaswadi
Adupadi,quick bites,2.9,25,450.0,No,No,"south indian, chettinad",whitefield,whitefield
Advika Briyani Center,delivery,3.2,10,300.0,No,No,biryani,jp nagar,jp nagar
Adya Hotel,quick bites,3.3,4,400.0,No,No,"south indian, north indian, chinese",electronic city,electronic city
Adyar Anand Bhavan Sweets,quick bites,2.8,40,200.0,No,No,"south indian, north indian, chinese, street food",electronic city,electronic city
Adyar Ananda Bhavan - Sweets,"takeaway, delivery",3.4,6,200.0,Yes,No,"mithai, desserts","byresandra,tavarekere,madiwala",btm
Adyar Ananda Bhavan Sweets,"takeaway, delivery",3.6,4,200.0,Yes,No,"mithai, desserts",jp nagar,jp nagar
Afghani Tandoori Hub,quick bites,3.6,14,400.0,Yes,No,"arabian, afghan","byresandra,tavarekere,madiwala",btm
Afoozoo - Ginger Hotel,casual dining,3.5,40,800.0,No,No,"north indian, chinese",brookefield,whitefield
Afrina's Kitchen,"takeaway, delivery",3.4,9,250.0,Yes,No,"fast food, desserts",frazer town,kammanahalli
Agarwal Food Service,delivery,3.5,16,400.0,Yes,No,"north indian, chinese, biryani",hsr,hsr
Agent Jack's Bar,bar,4.0,377,1300.0,No,Yes,"continental, north indian, italian",kalyan nagar,kalyan nagar
Agraharaa,quick bites,2.8,40,150.0,No,No,south indian,koramangala 4th block,koramangala 6th block
Agraharam Meal,"takeaway, delivery",3.7,61,300.0,No,No,"north indian, south indian",marathahalli,kaggadasapura
Aha Juice Bar,beverage shop,3.6,13,200.0,No,No,"beverages, fast food",bannerghatta road,btm
Ahaan Restaurant,delivery,2.8,76,300.0,Yes,No,"north indian, chinese",frazer town,rt nagar
AhimsaAmrit Green Cafe,casual dining,3.4,9,800.0,No,No,"healthy food, salad, continental",indiranagar,indiranagar
Ahmad's Chicken Hut,quick bites,3.2,9,200.0,No,No,"north indian, chinese",kalyan nagar,banaswadi
Ahmed's Little Hut,quick bites,2.8,40,250.0,Yes,No,fast food,bannerghatta road,btm
Ahmeds Takeaway Restaurant,"takeaway, delivery",2.8,40,250.0,No,No,"north indian, chinese",frazer town,frazer town
Aioli,casual dining,4.2,783,1400.0,No,Yes,"mediterranean, continental, italian, salad",kalyan nagar,kalyan nagar
Airlines Hotel,quick bites,4.0,867,400.0,Yes,No,"south indian, north indian, street food",brigade road,lavelle road
Aisha Tharavad,quick bites,3.5,40,400.0,No,No,"south indian, kerala",koramangala 6th block,ejipura
Aishwarya,dhaba,3.3,6,450.0,No,No,"chinese, north indian",whitefield,whitefield
Aishwarya Parkland,casual dining,2.9,59,500.0,No,No,"chinese, north indian",bannerghatta road,bannerghatta road
Aishwarya Sweets,sweet shop,3.6,24,250.0,Yes,No,"mithai, street food",malleshwaram,rajajinagar
Aishwarya Uphar,quick bites,2.8,40,150.0,No,No,"south indian, north indian",brigade road,ulsoor
Ajwa Thalassery Biryani,quick bites,3.9,42,500.0,Yes,Yes,"biryani, south indian",bellandur,sarjapur road
Akkad Bakkad,casual dining,3.9,72,600.0,Yes,Yes,"north indian, chinese",electronic city,electronic city
AKS Family Dhaba And Restaurant,quick bites,3.6,40,500.0,Yes,No,"north indian, mughlai, south indian",marathahalli,marathahalli
Akshara,casual dining,3.8,42,700.0,Yes,No,"north indian, south indian, chinese",electronic city,electronic city
Akshatha Nati Style,quick bites,3.7,20,500.0,No,No,"south indian, chinese, north indian",rajajinagar,vijay nagar
Akshaya Bar And Restaurant,"casual dining, bar",2.8,40,600.0,Yes,No,"north indian, south indian, chinese, fast food","byresandra,tavarekere,madiwala",koramangala 1st block
AKSHAYA BIRYANI,quick bites,3.6,20,300.0,Yes,No,"biryani, north indian",bellandur,sarjapur road
Akshaya Deluxe,casual dining,4.0,336,500.0,Yes,No,"north indian, chinese, seafood, biryani",new bel road,new bel road
Akshaya Donne Biriyani,quick bites,3.0,39,300.0,Yes,No,"biryani, south indian, kebab",jp nagar,jp nagar
Akshaya Family Restaurant,quick bites,3.2,4,150.0,Yes,No,"south indian, north indian",kalyan nagar,banaswadi
Akshaya Grand,casual dining,3.4,29,750.0,Yes,No,north indian,"byresandra,tavarekere,madiwala",btm
Akshaya Sambrama Veg Restaurant,quick bites,3.2,13,200.0,No,No,"south indian, chinese",church street,vasanth nagar
Akss - India Reimagined,casual dining,4.2,258,1800.0,No,Yes,"modern indian, north indian",malleshwaram,sadashiv nagar
Al Amal Cafe,"cafe, quick bites",4.0,74,300.0,No,No,"cafe, fast food",kalyan nagar,kammanahalli
Al Amanah Cafe,quick bites,4.4,1413,300.0,Yes,No,"middle eastern, fast food, rolls",frazer town,kammanahalli
Al Ameen Rolls Corner,quick bites,3.7,16,200.0,No,No,rolls,kalyan nagar,kammanahalli
Al Barack Cafetaria,quick bites,3.6,20,300.0,No,No,arabian,kalyan nagar,banaswadi
Al Daaz,casual dining,4.2,567,550.0,Yes,No,"north indian, continental, bbq",bellandur,hsr
Al Diwan Biryanis And More,"takeaway, delivery",3.2,12,300.0,Yes,No,biryani,jayanagar,basavanagudi
Al Ghani Resetaurant,quick bites,3.3,4,400.0,No,No,"mughlai, biryani",kammanahalli,kammanahalli
Al Habibi Restaurant,quick bites,3.5,17,300.0,Yes,No,"north indian, chinese","byresandra,tavarekere,madiwala",btm
Al Hayath,quick bites,3.5,16,200.0,No,No,"north indian, chinese",koramangala 5th block,btm
Al Hayath Ambur Biryani,quick bites,3.3,9,200.0,No,No,biryani,koramangala 4th block,ejipura
Al Karim,casual dining,3.7,90,400.0,No,No,"mughlai, north indian, biryani, chinese",kammanahalli,kalyan nagar
Al Khaleej Snacks Corner,quick bites,2.8,40,200.0,No,No,"lebanese, fast food, beverages",basavanagudi,jayanagar
Al Khansah,casual dining,3.9,370,550.0,Yes,No,"biryani, mughlai, chinese, north indian, kebab",bellandur,bellandur
Al Khwaja,casual dining,3.0,13,400.0,No,No,"north indian, chinese",bellandur,bellandur
Al Madhina Roll House,quick bites,3.4,6,300.0,No,No,"north indian, chinese",kammanahalli,kalyan nagar
Al Madina Family Restaurant,quick bites,2.8,40,500.0,No,No,"north indian, south indian, arabian",basavanagudi,city market
Al Madina Roll House,quick bites,3.6,16,150.0,Yes,No,biryani,kalyan nagar,kalyan nagar
Al Manar,quick bites,2.8,40,400.0,No,No,"south indian, north indian, chinese",koramangala 7th block,wilson garden
Al Noor,quick bites,3.7,21,350.0,No,No,"north indian, chinese, arabian, rolls",brigade road,shivajinagar
Al Sadique,quick bites,3.9,185,450.0,Yes,No,"north indian, mughlai, chinese, rolls",rajajinagar,magadi road
Al Sadique Restaurant,quick bites,3.4,32,350.0,No,No,"mughlai, north indian, street food",mg road,frazer town
Al Swaad Take Away,quick bites,3.1,12,350.0,Yes,No,"north indian, south indian, arabian",brigade road,richmond road
Al Taj Fast Food,quick bites,3.2,4,600.0,Yes,No,"fast food, north indian, south indian, chinese",rajajinagar,vijay nagar
Al Zaiqa Hotel,quick bites,3.4,14,200.0,Yes,No,"chinese, south indian, fast food",marathahalli,marathahalli
Alampur Bar And Restaurant,casual dining,3.7,42,900.0,Yes,No,"chinese, south indian, north indian",brigade road,race course road
Alankar Restaurant,casual dining,2.8,40,800.0,No,No,"south indian, north indian, chinese",marathahalli,marathahalli
Alankrutha,casual dining,3.8,260,500.0,Yes,No,"andhra, biryani, north indian, chinese",koramangala 5th block,btm
Alba - JW Marriott Bengaluru,fine dining,4.4,561,4000.0,No,Yes,italian,church street,lavelle road
Al-Badia Restaurant,casual dining,4.2,89,700.0,No,No,arabian,kalyan nagar,kammanahalli
Al-Baik Kabab Corner,quick bites,3.2,25,350.0,Yes,No,"kebab, biryani",malleshwaram,yeshwantpur
Al-Baik Tandoori Restaurant,quick bites,3.6,113,450.0,Yes,No,"north indian, chinese, arabian, biryani, rolls",frazer town,nagawara
Al-Bek,casual dining,3.9,682,650.0,Yes,No,"north indian, mughlai, chinese, seafood","byresandra,tavarekere,madiwala",jayanagar
Albert Bakery,bakery,4.3,346,150.0,No,No,"bakery, fast food",frazer town,frazer town
Alchemy - The Chancery Pavilion,"microbrewery, casual dining",4.3,446,2000.0,No,Yes,modern indian,brigade road,residency road
Alchemy Coffee Roasters,cafe,4.2,704,500.0,No,No,cafe,basavanagudi,jayanagar
Alfa Family Restaurant,casual dining,3.0,27,400.0,No,No,"north indian, arabian, chinese",basavanagudi,wilson garden
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"bar, casual dining",3.7,77,2000.0,No,Yes,continental,malleshwaram,malleshwaram
Al-Hyatt,quick bites,3.5,40,300.0,No,No,"biryani, chinese",koramangala 6th block,ejipura
Ali Snacks Point,quick bites,3.4,5,150.0,Yes,No,"chinese, momos",malleshwaram,malleshwaram
Alibaba Cafe and Restaurant,casual dining,2.9,55,700.0,No,No,"arabian, middle eastern",kammanahalli,kalyan nagar
Alibi - Maya International Hotel,casual dining,1.8,224,1200.0,No,No,"north indian, continental, chinese",brigade road,church street
AlienSip,beverage shop,3.6,11,200.0,Yes,No,juices,bannerghatta road,btm
Alif Restaurant,casual dining,3.6,26,600.0,Yes,No,"north indian, chinese",bannerghatta road,jp nagar
Aligarh House,delivery,4.4,98,400.0,Yes,No,"north indian, biryani, awadhi, mughlai","byresandra,tavarekere,madiwala",koramangala
Alikemom,"takeaway, delivery",2.8,40,300.0,Yes,No,north indian,electronic city,electronic city
All Aromas,quick bites,2.8,40,400.0,Yes,No,"north indian, biryani",basavanagudi,jayanagar
All Saints Bakery,bakery,3.6,23,200.0,No,No,bakery,brigade road,brigade road
All Shook Up,"dessert parlor, beverage shop",3.6,34,300.0,Yes,No,"desserts, beverages",brookefield,marathahalli
All Shook Up!,"dessert parlor, beverage shop",3.6,19,300.0,Yes,No,"desserts, beverages",malleshwaram,rajajinagar
Allahabadi Tadaka,casual dining,2.9,46,250.0,No,No,north indian,indiranagar,domlur
Allana Kabab,quick bites,3.3,4,200.0,No,No,north indian,church street,richmond road
Alloro - The Oterra,fine dining,4.0,63,2500.0,No,Yes,italian,electronic city,electronic city
Al-Madina,"takeaway, delivery",3.3,8,500.0,No,No,"north indian, chinese","byresandra,tavarekere,madiwala",btm
Al-Madina Restaurant,casual dining,3.4,22,400.0,No,No,"arabian, north indian, chinese, kerala",basavanagudi,city market
Al-Marhaba Restaurant,quick bites,2.8,40,400.0,Yes,No,"arabian, chinese, north indian, rolls, momos",bannerghatta road,btm
Al-Noor Restaurant,quick bites,2.8,40,400.0,Yes,No,"chinese, north indian, mughlai",kalyan nagar,nagawara
Alpha - House of Biryani & Tandoor,casual dining,3.3,387,800.0,Yes,No,"biryani, north indian, chinese",brookefield,whitefield
Al-Sidique,quick bites,4.0,314,400.0,Yes,No,"north indian, chinese",rajajinagar,vijay nagar
